user_id,night_plays
user_28,5
user_63,5
user_76,5
user_98,5
user_43,4
user_5,4
user_65,4
user_78,4
user_85,4
user_87,4
user_17,3
user_18,3
user_21,3
user_24,3
user_29,3
user_3,3
user_4,3
user_40,3
user_42,3
user_45,3
user_47,3
user_49,3
user_57,3
user_6,3
user_62,3
user_66,3
user_74,3
user_75,3
user_79,3
user_83,3
user_93,3
user_95,3
user_97,3
user_1,2
user_11,2
user_14,2
user_26,2
user_27,2
user_31,2
user_32,2
user_34,2
user_35,2
user_39,2
user_41,2
user_44,2
user_46,2
user_50,2
user_53,2
user_56,2
user_58,2
user_68,2
user_7,2
user_71,2
user_72,2
user_73,2
user_8,2
user_80,2
user_81,2
user_88,2
user_100,1
user_12,1
user_15,1
user_16,1
user_20,1
user_22,1
user_23,1
user_25,1
user_30,1
user_33,1
user_36,1
user_38,1
user_48,1
user_54,1
user_55,1
user_59,1
user_70,1
user_82,1
user_84,1
user_86,1
user_89,1
user_9,1
user_91,1
user_92,1
user_94,1
user_96,1
user_99,1
